generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
73,553.5224673232202,587.8336230763332,667.4644825704056,0.0018033534417950278,0.0017008991230337861,0.0014959657933578776
74,551.0858497319566,580.8343932700111,661.3591158079795,0.0018113124987454584,0.0017206745189872505,0.0015097550197979066
75,551.0858497319566,574.7106997476509,634.7746024896854,0.0018113124987454584,0.0017383016124439962,0.001572884472081792
76,551.0858497319566,579.0327457791032,646.297165493595,0.0018113124987454584,0.0017254289808154603,0.0015448854920250613
77,551.0858497319566,580.6100965289247,654.4258370880773,0.0018113124987454584,0.0017211504553602266,0.001525725632731836
78,551.0858497319566,578.842037026262,636.6120571154322,0.0018113124987454584,0.0017265108904105993,0.001568351772587264
79,553.2821615310089,578.1776303173432,619.6399792949037,0.001804135275141911,0.0017278125807670963,0.0016112400640643219
80,550.6422511142072,580.6931552387251,640.9513140009834,0.0018127690509205916,0.0017205279626242495,0.0015577505305931472
81,549.7496863931949,579.0192987752995,622.1209986074366,0.0018157068895470478,0.001725350287310293,0.0016048247487002046
82,545.4390373722772,576.8281225549067,614.9881095745218,0.0018300303082459343,0.0017318905330077064,0.00162340795943403
83,549.7496863931949,575.5404660388845,642.860991801812,0.0018157068895470478,0.001735997131259001,0.001553130276150992
84,548.1453014403787,573.9382064941302,616.8509628193193,0.0018210116655410756,0.001740600644722587,0.001618513298800886
85,540.8135514585719,571.0089563927437,630.5325385026115,0.0018456533567829411,0.0017494609390933116,0.0015834496863313479
86,539.9327714930452,568.2473211051073,609.1998564959174,0.001848658562948348,0.0017580339317573319,0.001638807333948776
87,539.9327714930452,564.0725982400098,661.1349844537988,0.001848658562948348,0.001771351374812276,0.0015102660688211622
88,542.0617521393938,560.8370045673425,609.5354979737411,0.0018414112134770978,0.0017808948206729592,0.001637906400723336
89,539.2402343828202,557.7646916432226,619.5120722381155,0.0018510283691521372,0.0017911125399679418,0.001611572191324361
90,539.8216169110749,551.2561729626942,590.3788757914266,0.0018490385160851032,0.0018114799876143917,0.0016909633416677704
91,538.9449594127402,546.4050091424324,574.5183132417881,0.001852040624821517,0.0018271299716572551,0.0017375641695347368
92,537.5653099829976,543.8338395512637,571.8254129830557,0.0018567850202449352,0.0018355578579203466,0.0017457326042718364
93,537.5653099829976,542.0515774705847,591.2888621572899,0.0018567850202449352,0.0018416188630829226,0.0016883653634101887
94,528.5526766086418,540.7942536974156,570.3900997866156,0.001888386262919478,0.0018458433752590766,0.0017501178273362592
95,528.5526766086418,539.0479077659104,550.1075656566915,0.001888386262919478,0.0018517449015687357,0.0018145278024053527
96,526.9287834845817,537.8228598022073,564.9884633877145,0.0018941948824982098,0.0018560738966520666,0.0017668204648810624
97,526.4236959622932,533.9720399478593,546.050795848756,0.0018960088590170064,0.0018694116483443997,0.0018279838135478585
98,525.3865949670411,531.3260931533199,582.4351169879519,0.0018997444265513893,0.0018788680101482064,0.0017139866471572883
99,523.6125272776231,528.6931365362678,580.1000927574063,0.0019061687397922227,0.0018882035752547793,0.001720873929403197
100,518.2721061016475,528.154250277755,564.5719411216112,0.0019257726117956546,0.0018900500432896949,0.0017681216610867486
101,518.2721061016475,529.8794773904334,571.9451915288831,0.0019257726117956546,0.0018843514222399507,0.0017453676456059206
102,518.2464861464434,529.8856302893747,570.8613191268327,0.0019258676306534877,0.0018844867644533657,0.001748675713067788
103,516.5085510711965,526.3113544852652,586.1644467956069,0.0019323352202202057,0.001897160805344459,0.0017031003928412274
104,516.5085510711965,521.4393242035422,545.7689876061146,0.0019323352202202057,0.0019142283258880087,0.0018289259681282203
105,516.5085510711965,520.2783828258147,571.3954106047529,0.0019323352202202057,0.0019186414853081984,0.0017470440563865982
106,516.5085510711965,521.0294580768259,558.2478045331512,0.0019323352202202057,0.0019160959222560775,0.0017881160943220508
107,516.5085510711965,522.2408125784152,581.2968645089401,0.0019323352202202057,0.0019119132680975078,0.0017173370851710072
108,515.2523278531659,523.6149202095343,575.3291132752714,0.0019370372704342036,0.0019071394845140424,0.0017351197032490898
109,515.2523278531659,521.0258599548216,590.1272494014299,0.0019370372704342036,0.0019165192234622023,0.0016916831376198457
110,515.2523278531659,518.177775254068,555.909753809648,0.0019370372704342036,0.0019263867644670014,0.0017956230666805674
111,515.2523278531659,517.2482050603951,548.1500969829665,0.0019370372704342036,0.0019297105719770313,0.0018209957632603641
112,514.991959473905,516.4057057295133,516.5341710264006,0.0019380146950731167,0.0019327202019025934,0.0019322395621080403
113,509.3456173562158,517.4467214499924,558.8529379655154,0.0019594564271569136,0.0019291095345124818,0.0017861833567114297
114,509.3456173562158,515.4530201305226,522.5407430746378,0.0019594564271569136,0.0019363051951073432,0.0019100710178299083
115,509.3456173562158,514.3584715416466,516.5085510711965,0.0019594564271569136,0.0019404277114543345,0.0019323352202202057
116,509.3456173562158,513.0261544678841,515.2523278531659,0.0019594564271569136,0.0019454802043168892,0.0019370372704342036
117,509.3456173562158,510.70073946446115,514.991959473905,0.0019594564271569136,0.0019543104114568026,0.0019380146950731167
118,509.3456173562158,509.5747687083838,515.3217262199603,0.0019594564271569136,0.00195858638007175,0.0019367769148919873
