run,generations,generation_to_acceptable,final_distance,elapsed_seconds,valid_route,route
65,86,20,604.1443865067619,0.30860609999945154,True,30 6 17 24 15 23 19 14 20 1 34 28 5 26 32 21 18 7 36 11 39 38 3 27 31 8 13 29 22 12 10 9 16 35 2 33 37 25 4 40
66,325,102,576.5258268316682,1.158276099999057,True,17 8 25 4 29 7 18 6 9 30 40 23 39 12 24 1 20 31 34 14 33 37 19 26 5 28 22 13 36 11 10 21 32 35 38 27 3 15 16 2
67,105,21,575.9598990242532,0.3731258000007074,True,40 18 8 26 22 39 16 32 35 2 33 30 7 13 29 1 34 31 25 19 14 3 27 38 15 28 20 5 23 12 9 17 6 36 4 37 24 10 11 21
68,88,22,600.8552948050088,0.3128509000016493,True,32 27 28 15 24 22 31 3 38 35 2 33 16 12 21 11 18 36 7 13 29 17 25 37 40 9 10 5 34 14 20 1 23 39 26 8 19 4 6 30
69,278,14,561.3295976047493,0.9812590000001364,True,30 6 10 11 24 18 4 1 7 36 25 37 19 26 3 27 5 8 29 13 17 21 39 16 12 9 33 40 23 15 38 14 20 22 34 31 28 35 32 2
70,176,20,549.5791855635072,0.6223633999979938,True,24 5 27 3 38 19 25 37 18 4 7 29 13 36 1 20 31 34 28 14 8 26 22 10 11 12 30 21 9 40 23 17 6 15 39 16 33 35 32 2
71,182,15,552.4831861439667,0.6418594000024314,True,2 32 35 22 18 1 5 28 3 27 38 8 4 40 9 12 16 39 21 6 17 10 11 33 23 30 24 15 20 34 31 26 36 7 13 29 25 14 19 37
72,227,15,569.7786511825262,0.7988550999980362,True,13 29 1 26 5 3 34 8 7 36 10 11 16 12 9 21 39 15 28 27 32 35 2 30 23 38 14 20 31 22 24 6 17 18 25 4 19 37 40 33
73,162,17,562.627601894362,0.5710738000016136,True,30 9 29 13 4 8 1 31 26 5 19 14 34 20 25 18 36 7 17 10 39 15 21 11 6 40 37 23 33 2 16 24 22 28 27 3 38 35 32 12
74,121,25,563.8465452437798,0.42943279999963124,True,11 10 7 36 1 26 5 3 27 31 22 24 15 23 16 32 33 2 35 38 14 4 25 29 13 8 28 20 34 19 37 40 18 17 6 30 9 12 39 21
75,128,19,547.3309694587814,0.4513466000025801,True,40 24 8 26 4 18 17 16 39 15 22 1 11 12 30 9 23 33 37 19 14 25 6 21 10 13 29 36 7 5 20 31 34 28 3 27 38 35 32 2
76,226,20,529.8621507011956,0.7960206999996444,True,8 20 34 31 38 27 3 5 26 28 22 1 25 14 19 37 23 40 4 18 7 36 13 29 10 11 6 17 30 9 12 21 15 24 39 16 35 32 2 33
77,100,21,576.8941557297136,0.35306240000136313,True,16 32 35 1 29 13 6 23 40 27 3 25 19 37 14 8 4 36 7 17 18 39 11 21 15 24 10 22 28 5 26 20 34 31 38 2 33 30 9 12
78,355,14,561.0598303807225,1.2549228000025323,True,35 38 3 27 1 34 20 8 26 24 10 11 6 17 23 30 21 36 7 29 13 22 31 14 19 5 28 15 39 9 18 4 25 37 2 32 16 12 33 40
79,146,18,580.9468165531488,0.5161823999987973,True,9 30 15 5 1 29 13 10 22 20 31 8 26 24 18 7 36 6 17 4 25 37 23 33 12 21 28 34 3 27 11 39 16 38 14 19 35 32 2 40
80,203,19,544.539694482665,0.7170509000025049,True,32 27 3 14 19 37 38 35 33 23 30 40 25 8 26 20 31 34 22 28 5 1 29 13 4 24 11 9 12 21 36 7 18 17 6 10 15 39 16 2
81,154,27,622.3763652388859,0.5443176000007952,True,7 5 34 13 29 10 11 22 8 26 16 33 9 12 2 32 35 38 3 1 20 31 27 28 39 24 18 37 19 14 23 30 17 21 15 4 25 36 6 40
82,122,19,615.0200604064134,0.4281477999975323,True,6 24 22 31 34 14 20 19 37 4 29 36 1 18 17 30 12 32 16 39 21 15 28 38 11 10 8 26 5 27 3 23 33 9 40 13 7 25 35 2
83,235,18,540.7687629124954,0.8305025000008754,True,30 9 24 15 23 8 1 7 17 6 21 11 10 38 27 3 28 5 20 26 37 19 34 31 22 18 36 13 29 14 25 4 40 33 2 35 32 16 39 12
